trade_date,base_time,base_time_source,source_time,market_session,futures_code,futures_name,open_price,high_price,low_price,close_price,accumulated_volume,accumulated_trading_value,source,source_url,collected_at,raw_hash,target_slot,generated_at,actual_kst_time,schedule_lag_minutes
2026-05-21,13:51,collected_at_fallback,13:51,REGULAR,A01606,F 202606,1172.7,1224.2,1170.1,1222.85,111916,33561544100,KIS,https://openapi.koreainvestment.com:9443/uapi/domestic-futureoption/v1/quotations/inquire-daily-fuopchartprice,2026-05-21T13:51:25.947923+09:00,32f5aecab5d5b3bcba7104a8af963c473b59e086b79e65fdf9e4f8b015ca878b,1330,2026-05-21T13:51:25.947923+09:00,13:51,21
2026-05-20,13:51,collected_at_fallback,13:51,REGULAR,A01606,F 202606,1144.7,1148.45,1100,1125.95,166697,46685251438,KIS,https://openapi.koreainvestment.com:9443/uapi/domestic-futureoption/v1/quotations/inquire-daily-fuopchartprice,2026-05-21T13:51:25.947923+09:00,32f5aecab5d5b3bcba7104a8af963c473b59e086b79e65fdf9e4f8b015ca878b,1330,2026-05-21T13:51:25.947923+09:00,13:51,21
2026-05-19,13:51,collected_at_fallback,13:51,REGULAR,A01606,F 202606,1160,1161.75,1112.4,1137,174401,49561591825,KIS,https://openapi.koreainvestment.com:9443/uapi/domestic-futureoption/v1/quotations/inquire-daily-fuopchartprice,2026-05-21T13:51:25.947923+09:00,32f5aecab5d5b3bcba7104a8af963c473b59e086b79e65fdf9e4f8b015ca878b,1330,2026-05-21T13:51:25.947923+09:00,13:51,21
2026-05-18,13:51,collected_at_fallback,13:51,REGULAR,A01606,F 202606,1150,1194.2,1110.6,1171.95,181440,52599813288,KIS,https://openapi.koreainvestment.com:9443/uapi/domestic-futureoption/v1/quotations/inquire-daily-fuopchartprice,2026-05-21T13:51:25.947923+09:00,32f5aecab5d5b3bcba7104a8af963c473b59e086b79e65fdf9e4f8b015ca878b,1330,2026-05-21T13:51:25.947923+09:00,13:51,21
2026-05-15,13:51,collected_at_fallback,13:51,REGULAR,A01606,F 202606,1244.5,1256.4,1145.9,1172.7,199907,59880498025,KIS,https://openapi.koreainvestment.com:9443/uapi/domestic-futureoption/v1/quotations/inquire-daily-fuopchartprice,2026-05-21T13:51:25.947923+09:00,32f5aecab5d5b3bcba7104a8af963c473b59e086b79e65fdf9e4f8b015ca878b,1330,2026-05-21T13:51:25.947923+09:00,13:51,21
2026-05-14,13:51,collected_at_fallback,13:51,REGULAR,A01606,F 202606,1229.25,1249.2,1221.45,1245.5,148989,46003294863,KIS,https://openapi.koreainvestment.com:9443/uapi/domestic-futureoption/v1/quotations/inquire-daily-fuopchartprice,2026-05-21T13:51:25.947923+09:00,32f5aecab5d5b3bcba7104a8af963c473b59e086b79e65fdf9e4f8b015ca878b,1330,2026-05-21T13:51:25.947923+09:00,13:51,21
2026-05-13,13:51,collected_at_fallback,13:51,REGULAR,A01606,F 202606,1160,1223.4,1144.5,1222.25,168145,49938213275,KIS,https://openapi.koreainvestment.com:9443/uapi/domestic-futureoption/v1/quotations/inquire-daily-fuopchartprice,2026-05-21T13:51:25.947923+09:00,32f5aecab5d5b3bcba7104a8af963c473b59e086b79e65fdf9e4f8b015ca878b,1330,2026-05-21T13:51:25.947923+09:00,13:51,21
2026-05-12,13:51,collected_at_fallback,13:51,REGULAR,A01606,F 202606,1243,1243.55,1152.05,1186,245538,73418650313,KIS,https://openapi.koreainvestment.com:9443/uapi/domestic-futureoption/v1/quotations/inquire-daily-fuopchartprice,2026-05-21T13:51:25.947923+09:00,32f5aecab5d5b3bcba7104a8af963c473b59e086b79e65fdf9e4f8b015ca878b,1330,2026-05-21T13:51:25.947923+09:00,13:51,21
2026-05-11,13:51,collected_at_fallback,13:51,REGULAR,A01606,F 202606,1206.05,1228.8,1194.8,1214.25,198373,60186026788,KIS,https://openapi.koreainvestment.com:9443/uapi/domestic-futureoption/v1/quotations/inquire-daily-fuopchartprice,2026-05-21T13:51:25.947923+09:00,32f5aecab5d5b3bcba7104a8af963c473b59e086b79e65fdf9e4f8b015ca878b,1330,2026-05-21T13:51:25.947923+09:00,13:51,21
2026-05-08,13:51,collected_at_fallback,13:51,REGULAR,A01606,F 202606,1126.8,1155.75,1122.75,1153.25,140720,40092505200,KIS,https://openapi.koreainvestment.com:9443/uapi/domestic-futureoption/v1/quotations/inquire-daily-fuopchartprice,2026-05-21T13:51:25.947923+09:00,32f5aecab5d5b3bcba7104a8af963c473b59e086b79e65fdf9e4f8b015ca878b,1330,2026-05-21T13:51:25.947923+09:00,13:51,21
2026-05-07,13:51,collected_at_fallback,13:51,REGULAR,A01606,F 202606,1170.95,1174.6,1113.2,1158.7,182006,51769730133,KIS,https://openapi.koreainvestment.com:9443/uapi/domestic-futureoption/v1/quotations/inquire-daily-fuopchartprice,2026-05-21T13:51:25.947923+09:00,32f5aecab5d5b3bcba7104a8af963c473b59e086b79e65fdf9e4f8b015ca878b,1330,2026-05-21T13:51:25.947923+09:00,13:51,21
